Tutor Name,Day,Time Slot,Room,Students Assigned
John Smith,Monday,10:00-11:00,C80,2
Dr. Sarah Johnson,Tuesday,09:00-10:00,B45,2
Michael Brown,Monday,11:00-12:00,A22,2
Prof. Emily Davis,Tuesday,10:00-11:00,D67,2
Robert Wilson,Monday,13:00-14:00,E34,2
Dr. Lisa Miller,Tuesday,09:30-10:30,F12,1
David Taylor,Wednesday,10:30-11:30,G89,1
Prof. Jennifer Anderson,Monday,11:00-12:00,H56,1
Christopher Lee,Tuesday,09:00-10:00,I23,1
Maria Garcia,Monday,10:00-11:00,J78,1
Dr. James Martinez,Thursday,14:00-15:00,K91,1
Patricia Robinson,Monday,11:00-12:00,L44,1
Daniel Clark,Tuesday,10:00-11:00,M66,1
Prof. Susan Walker,Wednesday,09:30-10:30,N33,1
Mark Hall,Monday,13:00-14:00,O77,1
