StudentID,StudentName,School,ProgramLevel,EntryYear,Status,Advisor
STU001,Student_001,School_A,UG,2021,Active,Advisor_01
STU002,Student_002,School_B,PG,2022,Active,Advisor_02
STU003,Student_003,School_C,UG,2023,Active,Advisor_03
STU004,Student_004,School_D,PG,2024,Active,Advisor_04
STU005,Student_005,School_E,UG,2021,Active,Advisor_05
STU006,Student_006,School_A,PG,2022,Active,Advisor_06
STU007,Student_007,School_B,UG,2023,Active,Advisor_07
STU008,Student_008,School_C,PG,2024,Active,Advisor_08
STU009,Student_009,School_D,UG,2021,Active,Advisor_09
STU010,Student_010,School_E,PG,2022,Active,Advisor_10
STU011,Student_011,School_A,UG,2023,Active,Advisor_11
STU012,Student_012,School_B,PG,2024,Active,Advisor_12
STU013,Student_013,School_C,UG,2021,Active,Advisor_01
STU014,Student_014,School_D,PG,2022,Active,Advisor_02
STU015,Student_015,School_E,UG,2023,Active,Advisor_03
STU016,Student_016,School_A,PG,2024,Active,Advisor_04
STU017,Student_017,School_B,UG,2021,Active,Advisor_05
STU018,Student_018,School_C,PG,2022,Active,Advisor_06
STU019,Student_019,School_D,UG,2023,Active,Advisor_07
STU020,Student_020,School_E,PG,2024,Active,Advisor_08
STU021,Student_021,School_A,UG,2021,Active,Advisor_09
STU022,Student_022,School_B,PG,2022,Active,Advisor_10
STU023,Student_023,School_C,UG,2023,Active,Advisor_11
STU024,Student_024,School_D,PG,2024,Active,Advisor_12
STU025,Student_025,School_E,UG,2021,Active,Advisor_01
STU026,Student_026,School_A,PG,2022,Active,Advisor_02
STU027,Student_027,School_B,UG,2023,Active,Advisor_03
STU028,Student_028,School_C,PG,2024,Active,Advisor_04
STU029,Student_029,School_D,UG,2021,Active,Advisor_05
STU030,Student_030,School_E,PG,2022,Active,Advisor_06
STU031,Student_031,School_A,UG,2023,Active,Advisor_07
STU032,Student_032,School_B,PG,2024,Active,Advisor_08
STU033,Student_033,School_C,UG,2021,Active,Advisor_09
STU034,Student_034,School_D,PG,2022,Active,Advisor_10
STU035,Student_035,School_E,UG,2023,Active,Advisor_11
STU036,Student_036,School_A,PG,2024,Active,Advisor_12
STU037,Student_037,School_B,UG,2021,Active,Advisor_01
STU038,Student_038,School_C,PG,2022,Active,Advisor_02
STU039,Student_039,School_D,UG,2023,Active,Advisor_03
STU040,Student_040,School_E,PG,2024,Active,Advisor_04
STU041,Student_041,School_A,UG,2021,Active,Advisor_05
STU042,Student_042,School_B,PG,2022,Active,Advisor_06
STU043,Student_043,School_C,UG,2023,Active,Advisor_07
STU044,Student_044,School_D,PG,2024,Active,Advisor_08
STU045,Student_045,School_E,UG,2021,Active,Advisor_09
STU046,Student_046,School_A,PG,2022,Active,Advisor_10
STU047,Student_047,School_B,UG,2023,Active,Advisor_11
STU048,Student_048,School_C,PG,2024,Active,Advisor_12
STU049,Student_049,School_D,UG,2021,Active,Advisor_01
STU050,Student_050,School_E,PG,2022,Active,Advisor_02
STU051,Student_051,School_A,UG,2023,Active,Advisor_03
STU052,Student_052,School_B,PG,2024,Active,Advisor_04
STU053,Student_053,School_C,UG,2021,Active,Advisor_05
STU054,Student_054,School_D,PG,2022,Active,Advisor_06
STU055,Student_055,School_E,UG,2023,Active,Advisor_07
STU056,Student_056,School_A,PG,2024,Active,Advisor_08
STU057,Student_057,School_B,UG,2021,Active,Advisor_09
STU058,Student_058,School_C,PG,2022,Active,Advisor_10
STU059,Student_059,School_D,UG,2023,Active,Advisor_11
STU060,Student_060,School_E,PG,2024,Active,Advisor_12
STU061,Student_061,School_A,UG,2021,Active,Advisor_01
STU062,Student_062,School_B,PG,2022,Active,Advisor_02
STU063,Student_063,School_C,UG,2023,Active,Advisor_03
STU064,Student_064,School_D,PG,2024,Active,Advisor_04
STU065,Student_065,School_E,UG,2021,Active,Advisor_05
STU066,Student_066,School_A,PG,2022,Active,Advisor_06
STU067,Student_067,School_B,UG,2023,Active,Advisor_07
STU068,Student_068,School_C,PG,2024,Active,Advisor_08
STU069,Student_069,School_D,UG,2021,Active,Advisor_09
STU070,Student_070,School_E,PG,2022,Active,Advisor_10
STU071,Student_071,School_A,UG,2023,Active,Advisor_11
STU072,Student_072,School_B,PG,2024,Active,Advisor_12
STU073,Student_073,School_C,UG,2021,Active,Advisor_01
STU074,Student_074,School_D,PG,2022,Active,Advisor_02
STU075,Student_075,School_E,UG,2023,Active,Advisor_03
STU076,Student_076,School_A,PG,2024,Active,Advisor_04
STU077,Student_077,School_B,UG,2021,Active,Advisor_05
STU078,Student_078,School_C,PG,2022,Active,Advisor_06
STU079,Student_079,School_D,UG,2023,Active,Advisor_07
STU080,Student_080,School_E,PG,2024,Active,Advisor_08
STU081,Student_081,School_A,UG,2021,Active,Advisor_09
STU082,Student_082,School_B,PG,2022,Active,Advisor_10
STU083,Student_083,School_C,UG,2023,Active,Advisor_11
STU084,Student_084,School_D,PG,2024,Active,Advisor_12
